2010-04-18 14:46:30 (KRAST)	8 Notice	Undefined variable: success	File: upload_file.php	Line: 35	
2010-04-18 14:46:30 (KRAST)	2 Warning	opendir(C:/AppServ/www/useruploads/images/) [<a href='function.opendir'>function.opendir</a>]: failed to open dir: No such file or directory	File: upload_process.php	Line: 21	
2010-04-18 14:46:30 (KRAST)	2 Warning	opendir(C:/AppServ/www/useruploads/images/) [<a href='function.opendir'>function.opendir</a>]: failed to open dir: No such file or directory	File: fns_tinybrowser.php	Line: 363	
2010-04-18 14:46:30 (KRAST)	2 Warning	readdir(): supplied argument is not a valid Directory resource	File: fns_tinybrowser.php	Line: 364	
2010-04-18 14:46:30 (KRAST)	2 Warning	closedir(): supplied argument is not a valid Directory resource	File: fns_tinybrowser.php	Line: 380	
2010-04-18 14:47:21 (KRAST)	2 Warning	imagejpeg() [<a href='function.imagejpeg'>function.imagejpeg</a>]: Unable to open 'C:/AppServ/www/useruploads/images/_thumbs/_blue6.jpg' for writing: No such file or directory	File: fns_tinybrowser.php	Line: 113	
2010-04-18 14:59:19 (KRAST)	2 Warning	imagejpeg() [<a href='function.imagejpeg'>function.imagejpeg</a>]: Unable to open 'C:/AppServ/www/useruploads/images/_thumbs/_blue6.jpg' for writing: No such file or directory	File: fns_tinybrowser.php	Line: 113	
2010-04-18 15:01:47 (KRAST)	2 Warning	imagejpeg() [<a href='function.imagejpeg'>function.imagejpeg</a>]: Unable to open 'C:/AppServ/www/useruploads/images/_thumbs/_blue6.jpg' for writing: No such file or directory	File: fns_tinybrowser.php	Line: 113	
2010-04-18 15:03:11 (KRAST)	2 Warning	imagejpeg() [<a href='function.imagejpeg'>function.imagejpeg</a>]: Unable to open 'C:/AppServ/www/useruploads/images/_thumbs/_3327603.jpg' for writing: No such file or directory	File: fns_tinybrowser.php	Line: 113	
2010-04-18 15:03:11 (KRAST)	2 Warning	imagejpeg() [<a href='function.imagejpeg'>function.imagejpeg</a>]: Unable to open 'C:/AppServ/www/useruploads/images/_thumbs/_3346424.jpg' for writing: No such file or directory	File: fns_tinybrowser.php	Line: 113	
2010-04-18 15:03:11 (KRAST)	2 Warning	imagejpeg() [<a href='function.imagejpeg'>function.imagejpeg</a>]: Unable to open 'C:/AppServ/www/useruploads/images/_thumbs/_3347180.jpg' for writing: No such file or directory	File: fns_tinybrowser.php	Line: 113	
2010-04-18 15:03:11 (KRAST)	2 Warning	imagejpeg() [<a href='function.imagejpeg'>function.imagejpeg</a>]: Unable to open 'C:/AppServ/www/useruploads/images/_thumbs/_3365431.jpg' for writing: No such file or directory	File: fns_tinybrowser.php	Line: 113	
2010-04-18 15:03:11 (KRAST)	2 Warning	imagejpeg() [<a href='function.imagejpeg'>function.imagejpeg</a>]: Unable to open 'C:/AppServ/www/useruploads/images/_thumbs/_3369087.jpg' for writing: No such file or directory	File: fns_tinybrowser.php	Line: 113	
2010-04-18 15:03:12 (KRAST)	2 Warning	imagejpeg() [<a href='function.imagejpeg'>function.imagejpeg</a>]: Unable to open 'C:/AppServ/www/useruploads/images/_thumbs/_avata.png' for writing: No such file or directory	File: fns_tinybrowser.php	Line: 113	
2010-04-18 15:03:12 (KRAST)	2 Warning	imagejpeg() [<a href='function.imagejpeg'>function.imagejpeg</a>]: Unable to open 'C:/AppServ/www/useruploads/images/_thumbs/_blue6.jpg' for writing: No such file or directory	File: fns_tinybrowser.php	Line: 113	
