 
5-11-2010 23:15:06 | IPs reserved list | IP: 1.52.254.65 ] | DNS: 1.52.254.65 | Agent: Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US) AppleWebKit/534.7 (KHTML, like Gecko) Chrome/7.0.517.41 Safari/534.7 | URL: / | Referer: http://www.phuquocgtc.vn/

5-11-2010 23:23:59 | IPs reserved list | IP: 1.52.254.65 ] | DNS: 1.52.254.65 | Agent: Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US) AppleWebKit/534.7 (KHTML, like Gecko) Chrome/7.0.517.41 Safari/534.7 | URL: /index.php/vi/tour/detail/10 | Referer: no referer

5-11-2010 23:23:59 | IPs reserved list | IP: 1.52.254.65 ] | DNS: 1.52.254.65 | Agent: Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US) AppleWebKit/534.7 (KHTML, like Gecko) Chrome/7.0.517.41 Safari/534.7 | URL: /index.php/favicon.ico | Referer: no referer

5-11-2010 23:29:48 | IPs reserved list | IP: 1.52.254.65 ] | DNS: 1.52.254.65 | Agent: Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US) AppleWebKit/534.7 (KHTML, like Gecko) Chrome/7.0.517.41 Safari/534.7 | URL: /index.php/vi/tour/detail/10 | Referer: no referer

5-11-2010 23:29:48 | IPs reserved list | IP: 1.52.254.65 ] | DNS: 1.52.254.65 | Agent: Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US) AppleWebKit/534.7 (KHTML, like Gecko) Chrome/7.0.517.41 Safari/534.7 | URL: /index.php/favicon.ico | Referer: no referer

5-11-2010 23:29:52 | IPs reserved list | IP: 1.52.254.65 ] | DNS: 1.52.254.65 | Agent: Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US) AppleWebKit/534.7 (KHTML, like Gecko) Chrome/7.0.517.41 Safari/534.7 | URL: /index.php/vi/tour/detail/10 | Referer: no referer

5-11-2010 23:29:52 | IPs reserved list | IP: 1.52.254.65 ] | DNS: 1.52.254.65 | Agent: Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US) AppleWebKit/534.7 (KHTML, like Gecko) Chrome/7.0.517.41 Safari/534.7 | URL: /index.php/favicon.ico | Referer: no referer

5-11-2010 23:29:53 | IPs reserved list | IP: 1.52.254.65 ] | DNS: 1.52.254.65 | Agent: Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US) AppleWebKit/534.7 (KHTML, like Gecko) Chrome/7.0.517.41 Safari/534.7 | URL: /index.php/vi/tour/detail/10 | Referer: no referer

5-11-2010 23:29:53 | IPs reserved list | IP: 1.52.254.65 ] | DNS: 1.52.254.65 | Agent: Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US) AppleWebKit/534.7 (KHTML, like Gecko) Chrome/7.0.517.41 Safari/534.7 | URL: /index.php/favicon.ico | Referer: no referer

