2011-04-16 13:21:42,734 INFO  [org.jboss.web.WebService] (main) Using RMI server codebase: http://192.168.99.240:8083/
2011-04-16 13:21:49,515 INFO  [org.jboss.wsf.stack.jbws.NativeServerConfig] (main) JBoss Web Services - Stack Native Core
2011-04-16 13:21:49,531 INFO  [org.jboss.wsf.stack.jbws.NativeServerConfig] (main) 3.1.2.GA
2011-04-16 13:21:50,000 INFO  [org.jboss.dependency.plugins.AttributeCallbackItem] (main) Owner callback not implemented.
2011-04-16 13:21:51,343 INFO  [org.jboss.logbridge.LogNotificationListener] (main) Adding notification listener for logging mbean "jboss.system:service=Logging,type=Log4jService" to server org.jboss.mx.server.MBeanServerImpl@9b59a2[ defaultDomain='null' ]
2011-04-16 13:22:07,734 INFO  [org.jboss.ejb3.deployers.Ejb3DependenciesDeployer] (main) Encountered deployment AbstractVFSDeploymentContext@29065712{vfsfile:/D:/jboss-5.1.0.GA/server/all/deploy/profileservice-secured.jar/}
2011-04-16 13:22:07,734 INFO  [org.jboss.ejb3.deployers.Ejb3DependenciesDeployer] (main) Encountered deployment AbstractVFSDeploymentContext@29065712{vfsfile:/D:/jboss-5.1.0.GA/server/all/deploy/profileservice-secured.jar/}
2011-04-16 13:22:07,734 INFO  [org.jboss.ejb3.deployers.Ejb3DependenciesDeployer] (main) Encountered deployment AbstractVFSDeploymentContext@29065712{vfsfile:/D:/jboss-5.1.0.GA/server/all/deploy/profileservice-secured.jar/}
2011-04-16 13:22:07,734 INFO  [org.jboss.ejb3.deployers.Ejb3DependenciesDeployer] (main) Encountered deployment AbstractVFSDeploymentContext@29065712{vfsfile:/D:/jboss-5.1.0.GA/server/all/deploy/profileservice-secured.jar/}
2011-04-16 13:22:09,140 INFO  [org.jboss.iiop.CorbaNamingService] (main) CORBA Naming Started
2011-04-16 13:22:12,750 INFO  [org.jboss.mx.remoting.service.JMXConnectorServerService] (main) JMX Connector server: service:jmx:rmi://192.168.99.240/jndi/rmi://192.168.99.240:1090/jmxconnector
2011-04-16 13:22:13,000 INFO  [org.jboss.mail.MailService] (main) Mail Service bound to java:/Mail
2011-04-16 13:22:13,640 INFO  [org.jboss.jmx.adaptor.snmp.agent.SnmpAgentService] (main) SNMP agent going active
2011-04-16 13:22:15,750 INFO  [org.jboss.ha.framework.interfaces.HAPartition.nlbtoan] (main) Initializing partition nlbtoan
2011-04-16 13:22:15,859 INFO  [STDOUT] (JBoss System Threads(1)-3) 
---------------------------------------------------------
GMS: address is 192.168.99.240:2970 (cluster=nlbtoan)
---------------------------------------------------------
2011-04-16 13:22:15,921 INFO  [org.jboss.cache.jmx.PlatformMBeanServerRegistration] (main) JBossCache MBeans were successfully registered to the platform mbean server.
2011-04-16 13:22:15,984 INFO  [STDOUT] (main) 
